MS_ID,Location,Collection,Reference,Headnote,MS_Date,Folia,Place_of_production,Produced_for,Notes,MS_Sources,F_%,L_%,E_%,O_%,F_Sides,L_Sides,E_Sides,O_Sides,total_sides_English,total_sides_French,total_sides_Latin,total_sides_Other,percentage_English,percentage_French,percentage_Latin,percentage_Other
256b,Dublin,Christ Church Cathedral,Black Book,Black Book,s.xiii (ex),30,Ireland,Christ Church Cathedral Dublin,composite MS  compiled after 1297 ; 32v-33 originally blank but charters have been added,"Gillespie, Raymond, and Refausse?, Raymond. The Medieval Manuscripts of Christ Church Cathedral, Dublin. Dublin: Four Courts Press, 2006.",,,,,,,,,,21.5,35.5,,,37.719298245614034,62.28070175438597,
256c,Dublin,Christ Church Cathedral,Black Book,Black Book,s.xiii (ex),30,Ireland,Christ Church Cathedral Dublin,composite MS compiled around 1294 ; MS also contains Fet a saver (ff. 66r-74r),"Gillespie, Raymond, and Refausse?, Raymond. The Medieval Manuscripts of Christ Church Cathedral, Dublin. Dublin: Four Courts Press, 2006.",,,,,,,,,,60.0,,,,100.0,,
256g,Dublin,Christ Church Cathedral,Black Book,Black Book,s.xiii (ex),124,Ireland,Christ Church Cathedral Dublin,composite MS compiled around 1294 ; this part copied c. 1279 and 1284; MS also contains Fet a saver (ff. 66r-74r); languages of ff.202-212 uncertain,"Gillespie, Raymond, and Refausse?, Raymond. The Medieval Manuscripts of Christ Church Cathedral, Dublin. Dublin: Four Courts Press, 2006.",,,,,,,,,,21.833333333333332,225.16666666666669,,,8.83940620782726,91.16059379217275,
257,Dublin,Trinity College,97,Monastic rules etc.,s.xiii / xiv,276,,,"Latin added to ff. 239r-240r in the 1st half of the 14th C ; on f. 191 ""Corpus scribentis benedicant signa legentis"" (in a 13th c hand)  ; on f. 276 ""Per me Henricum Duff"" c. 15th/16th c","Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 1. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",,,,,,,,,1.9166666666666663,1.9166666666666663,412.1666666666667,,0.3692999357739241,0.3692999357739241,79.4155427103404,
258,Dublin,Trinity College,177,Book of St Albans,s.xiii (med),77,Hertfordshire,St. Albans,copied c. 1230-1269 ; some of it might be in the hand of Matthew Paris,https://manuscripts.catalogue.tcd.ie/CalmView/Record.aspx?src=CalmView.Catalog&id=IE+TCD+MS+177,,,,,,,,,,43.0,105.0,,,29.054054054054053,70.94594594594594,
259,Dublin,Trinity College,209,Livre de la Fontaine de toutes sciences,unknown,189,,,"""after 1307""",https://manuscripts.catalogue.tcd.ie/CalmView/Record.aspx?src=CalmView.Catalog&id=IE+TCD+MS+209,,,,,,,,,,378.0,,,,100.0,,
26,Brussels,Royal Library of Belgium,12118 (2288),Pierre de Pekham.,s.xiii,89,,,,http://uurl.kbr.be/1427497,,,,,,,,,,176.0,,,,100.0,,
260,Dublin,Trinity College,253,Livre de la creation etc.,s.xiv,114,,,Pagination doesn't match foliation in catalogue,https://manuscripts.catalogue.tcd.ie/CalmView/Record.aspx?src=CalmView.Catalog&id=IE+TCD+MS+253,,,,,,,,,,245.0,,,,100.0,,
261,Dublin,Trinity College,270,Alexander Nequam etc.,s.xiii (med),213,,,"See catalogue for full contents; English wind terms on fol. 9v; on 13v some added notes in English ( 15th C) and a Latin note about punctuation;  ff. 14r-24r and ff. 177v-184v French explanations on Iohannes De Garlandia, Dictionarius; ff. 26r-33v and 157r-169r contain French glosses in Alexander Nequams De Nominius Vtensilium ; on f. 114v some word definitions in French; on ff. 169v-177r (Adam Paruinpotanus) some glosses in French; some medical recipes in French on f. 192v ; some glosses between ff.34r and 113v and ff.115-155 in French and English ; f. 204 r notes on Latin grammar in French; Greek alphabet on f. 204v; total French sides approximate due to nature of the glosses ; 9v has owner inscription for Thomas de Houton ; inserted slip (f.37v) has a 14th c lyric in English","Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 1. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",5.1887,94.8113,0.0,0.0,22.0,402.0,0.0,0.0,,,,,,,,
262,Dublin,Trinity College,312,De Modo Confessionis etc.,s.xiv (2),184,,,See catalogue for contents ; ff.46v-52r poems on sin in French; ff.140r-143v Vision de Tondale in French; ff. 145r-146r Hymn to Marie in French; ff. 147r-147v Prayer to St. Margaret in French; ff. 167r Cest orisoun disaite etc. ; English on f. 152r,"Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 1. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",6.25,93.6141,0.1359,0.0,23.0,344.5,0.5,0.0,,,,,,,,
263,Dublin,Trinity College,318,Gregory's Pastoral Care etc.,s.xiv (med),196,,,"see catalogue for full contents; MS from the first half of the fourteenth century; notes added to ff. 108v and f. 114r  (in Latin);f. 108v has ""Eueskes Albes ense (intz ?) in a 14th c hand ; Dean no. 974 (on the crucifixion) added in the middle of the fourteenth century on f.14r ; Early modern notes by Henry Savile on f. 49r","Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 1. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",0.2551,99.7449,0.0,0.0,0.5,197.5,0.0,0.0,,,,,,,,
264,Dublin,Trinity College,347,Sermons etc.,s.xiii (ex),407,Ireland,,ownership inscriptions on f. 1r and f.2r ; French on ff.2v-3r (Verses on the death of Simon of Montfort in 1265) with an extra stanza added in the 13th c; f. 10r (medical recipes); f. 180v (one sentence); f. 199v and f. 303 (one sentence); some English on f. 10v; some scribal notes and gloss in English on the tract on ff. 21r-60v; some English on f. 70v and f. 199v; a few English words on f. 239v and f. 311r,"Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 1. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",0.3496,99.5256,0.1248,0.0,2.8,797.2,1.3,0.0,,,,,,,,
265a,Dublin,Trinity College,367,Chiromancy etc.,s.xiv (med),5,,,composite MS ; see catalogue for contents ; French on f. 3v (medical recipes) and one medical recipe on 4r ; part B contains French but no A-N (French medical recipe on f. 54v; added table in French on f. 81 (added s.xiii/xiv); medical recipe on f. 49r and f. 49v),"Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 1. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",15.0,85.0,0.0,0.0,1.5,8.5,0.0,0.0,,,,,,,,
266a,Dublin,Trinity College,370,Medical receipts etc.,s.xiii (2),89,,,"composite MS (multiple hands in this part) ; French alone on f.48; French and Latin on f. 48v, French alone on f. 49r (medical receipts); French and Latin on the properties of stones on ff. 49v-50r; French verses on the Virgin on ff. 88r-88v ; 13th c inscription on f. 1r ""Liber Croylandie""","Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 1. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",3.6932,96.3068,0.0,0.0,5.5,169.5,0.0,0.0,,,,,,,,
267,Dublin,Trinity College,374,Devotional items etc.,s.xiii (2),168,,,"total foliation and languages approximate ; once bound with 2 other volumes; inscription on 58v:  ""The threynes of shrope shyare [Shropshire]""",https://archive.org/stream/catalogueofmanus00trinuoft#page/56/mode/2up,100.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,,,,,,,,
268a,Dublin,Trinity College,432,Vol.1,s.xv,58,,,once bound with 2 other volumes; no A-N,https://manuscripts.catalogue.tcd.ie/CalmView/Record.aspx?src=CalmView.Catalog&id=IE+TCD+MS+432,,,,,,,,,,36.0,79.0,,,31.30434782608696,68.69565217391305,
268b,Dublin,Trinity College,432,Vol.2,s.xv,63,,,,https://manuscripts.catalogue.tcd.ie/CalmView/Record.aspx?src=CalmView.Catalog&id=IE+TCD+MS+432,,,,,,,,,,,,,,,,
269,Dublin,Trinity College,441,Planetary tables etc,s.xiv (1),271,,,"French (and Latin) on ff. 232v-234r (Pseudo-Aristotle, About Chiromancy) ; contains notes by John Dee ; ff. 72v-73v and 78r-79r have been written over ; ownership inscription on f. 1: ""Liber W. Dussyng"" ; Dussyng was an owner of British Library, Harley MS 80 and Oxford, Bodl. Digby MS 81 (apparently a layman)","Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 2. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",0.3711,99.6289,0.0,0.0,2.0,537.0,0.0,0.0,,,,,,,,
27,Brussels,Royal Library of Belgium,9030-37 (2306),Recueil Ascétique,s.xv,iii+269,,,,http://uurl.kbr.be/1427497,,,,,,,,,,537.0,,,,100.0,,
270,Dublin,Trinity College,495,Geoffrey of Monmouth,s.xiv (1),125,,,"""not after 1346""; flyleaves (ff.124-125) from an accountbook (some names visible); notes on f. 25v","Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 2. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",,,,,,,,,,24.0,222.0,,,9.75609756097561,90.2439024390244,
271,Dublin,Trinity College,500,Brut chronicle,s.xiv (med),100,,,"paginated; leaves 1-12 has circulated in a different MS and include some English lines; connected to the Knights Hospitallers of S. John at Clerkenwell ; notes on f.4r :""Dominus Henricus dei gratia""","Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 2. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",,,,,,,,,,186.0,,,,100.0,,
271b,Dublin,Trinity College,500,Legal notes on succession,s.xv,1,,,paper end flyleaves bound with a Brut chronicle,"Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 2. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",,,,,,,,,,2.0,,,,100.0,,
272a,Dublin,Trinity College,501,Brut chronicle,s.xiv (2),76,,,"a 16th c hand on f. 76r wrote ""La. Wotton""","Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 2. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",,,,,,,,,,2.0,,,,100.0,,
273d,Dublin,Trinity College,517,Geoffrey of Monmouth etc.,s.xv (2),58,,,"bound with other MSS ; Polychronicon (Latin) added to ff. 150r-155r in s.xv /xvi ; 15th c inscription on f. 149r: ""Nouerint uniuersi per presentes Jhon Bowdon"" and (on the same folio) ""Boudon de Caffers"" (apparently a layman)","Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 2. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",,,,,,,,,0.5833333333333333,3.75,95.66666666666666,,0.5833333333333333,3.75,95.66666666666666,
274,Dublin,Trinity College,523,Ipomedon,s.xiv (med),30,,,other contents not catalogued; foliation approximate,"Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999.",,,,,,,,,,56.0,,,,100.0,,
275,Dublin,Trinity College,603,Seneca etc.,s.xiii (1),61,,,Medical notes added to ff. 41v-43v (in Latin) in the 13th century ; 17th c ownership inscriptions inside cover,"Colker, O'Sullivan, and William O'Sullivan. Descriptive Catalogue of the Mediaeval and Renaissance Latin Manuscripts: Trinity College Library Dublin. Vol. 2. Aldershot: Scolar Press for Trinity College Library Dublin, 1991.",,,,,,,,,,0.5,119.49999999999999,,,0.41666666666666674,99.58333333333333,
276b,Dublin,Trinity College,605,Thomas Sampson etc.,s.xv (med),176,,,"composite volume ; on pp. 380-381 English names for Latin legal terms ; added English recipes on p. 2; p. 306 has ""Iohannes Braunspath armiger"" ; p. 307 has names including ""Ricardus Hornyngwolde yoman"" etc.; p. 308 contains references to ""William Clerk"" and ""Thomas Waite"" c. 1464/ 1465 ; other names on p. 319 and p. 324; on pp. 327-328 notes on aqua vitae in English; p. 424 another recipe in English; p. 450 has a charm in English;  p. 335 has a mariage certificate",,,,,,,,,,7.0,4.0,124.0,,5.185185185185185,2.9629629629629632,91.85185185185185,
277,Durham,The Castle,A.I. Doyle Collection,Sermon fragments,s.xiv (med),1,,,"in the binding of Eramus' ""Moriae encomium"" (Basle, 1522)","Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999.",,,,,,,,,,2.0,,,,100.0,,
278,Durham,Cathedral Library,A.II.11,Commentary on the psalter,s.xiii (in),142,Durham,Durham Cathedral,,"Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999.",,,,,,,,,,141.0,141.0,,,50.0,50.0,
279,Durham,Cathedral Library,A.II.12,Commentary on the psalter,s.xiii (in),213,Durham,Durham Cathedral,,"Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999.",,,,,,,,,,211.5,211.5,,,50.0,50.0,
280,Durham,Cathedral Library,A.II.13,Commentary on the psalter,s.xiii (in),276,Durham,Durham Cathedral,,"Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999.",,,,,,,,,,275.5,275.5,,,50.0,50.0,
281b,Durham,Cathedral Library,B.III.3,Mandeville,s.xiv,133,,,"bound with a s.xii volume; ""There is no evidence that fols. 57-133 (s. xiv ex.: Mandeville [in French]) are of Durham provenance.""",http://mlgb3.bodleian.ox.ac.uk/mlgb/book/2176/,,,,,,,,,,154.0,,,,100.0,,
282,Durham,Cathedral Library,C.IV.27,Brut etc.,s.xii (ex),167,,,,http://jonas.irht.cnrs.fr/manuscrit/72992,,,,,,,,,,334.0,,,,100.0,,
283,Durham,Cathedral Library,C.IV.27B,Roman de toute chevalerie,s.xiv,201,,,,http://jonas.irht.cnrs.fr/consulter/manuscrit/detail_manuscrit.php?projet=80650,,,,,,,,,,390.0,,,,100.0,,
284,Durham,Univ. Libr.,Cosin V.iv.1,Medica,s.xiv / xv,42,,,Some paper folios,https://www.dur.ac.uk/library/asc/theme/medmss/apviv1/,,,,,,,,,24.666666666666647,24.666666666666647,24.666666666666647,,33.33333333333333,33.33333333333333,33.33333333333333,
285L,Durham,Univ. Libr.,Cosin V.v.9,Miscellanea,s.xiv (2),16,Nottinghamshire,Rufford Abbey,composite MS ; this part apparently written at Rufford (Notts.) based on documents pertaining to the Cistercian abbey there,https://www.dur.ac.uk/library/asc/theme/medmss/apvv9/,,,,,,,,,1.0,3.0,25.0,,3.4482758620689653,10.344827586206897,86.20689655172413,
286b,Durham,Univ. Libr.,Cosin V.v.15,Mirour de Seinte Eglise etc.,s.xiv,26,,,"Added letter on f. 17 in s.xv by one ""thomas wylson"" to his parents; other notes added on ff. 17v - 18r; added notes on f. 43v (s.xiv); bound with 3 other volumes",https://www.dur.ac.uk/library/asc/theme/medmss/apvv15/,,,,,,,,,,48.0,,,,100.0,,
287,Edinburgh,National Library,Adv. 18.4.9,Chronicle of Martinus Polonus etc.,s.xiv,60,,,French recipes added to two blank folia in the 14th C ; foliation of Latin tracts approximate,https://archive.org/stream/documentsmanusc00meyegoog#page/n118/mode/1up ; http://jonas.irht.cnrs.fr/consulter/manuscrit/detail_manuscrit.php?projet=19790,,,,,,,,,,2.0,114.0,,,1.7241379310344827,98.27586206896551,
288a,Edinburgh,National Library,Adv. 18.4.13,Alexander Nequam,s.xiii (1),2,,,flyleaves in a MS of the Aeneid,"Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999. ; Cunningham, I.C. Latin Classical Manuscripts in the National Library of Scotland. S.l.], 1973.",,,,,,,,,,4.0,,,,100.0,,
289,Edinburgh,National Library,Adv. 18.6.1,Medical receipts etc.,s.xiii,156,,,Latin contents not catalogued,http://jonas.irht.cnrs.fr/manuscrit/79859,,,,,,,,,,2.5,109.5,,,2.232142857142857,97.76785714285714,
28b,Brussels,Royal Library of Belgium,10747 (3357),Gautier de Coincy. Les miracles de Notre-Dame. etc.,s.xiii,3,,,"added before the rest of a larger volume (""A partir du f. 288v, où la copie est postérieure, les initiales n'ont plus été exécutées."").",http://uurl.kbr.be/1429158,,,,,,,,,,24.0,,,,100.0,,
290,Edinburgh,National Library,Adv. 18.6.9,Medical texts,s.xiv,156,,,inscriptions in a seventeenth-century hand; language of item 25 uncertain,"Hunt, Tony. Anglo-Norman Medicine. Cambridge: Brewer, 1994, pp.129-131.",,,,,,,,,,135.0,162.0,,,45.45454545454545,54.54545454545454,
291,Edinburgh,National Library,Adv. 19.2.1,Auchinleck MS,s.xiv (1),334,London,London,See also Dean no. 175,https://auchinleck.nls.uk/contents.html,,,,,,,,,663.5,0.5,,,99.92469879518072,0.07530120481927711,,
292,Edinburgh,University Library,107 (Laing 50),Tractatus varii,s.xiii / xiv,192,,,end points for Latin tracts are based on Borland's entries and therefore approximate,"Borland, Catherine R.  A Descriptive Catalogue of the Western Mediaeval Manuscripts in Edinburgh University Library. Edinburgh: U, 1916.",,,,,,,,,7.5,27.0,349.5,,1.953125,7.03125,91.015625,
293,Edinburgh,University Library,181 (Laing III.51),Cato Disticha,s.xiv,201,,,end points for Latin tracts are based on Borland's entries and therefore approximate; total folios listed in Dean don't match in Borland's catalogue; belonged to the Alva family in the 18th c,"Borland, Catherine R.  A Descriptive Catalogue of the Western Mediaeval Manuscripts in Edinburgh University Library. Edinburgh: U, 1916.",,,,,,,,,,316.0,92.0,,,77.45098039215686,22.54901960784314,
294,Edinburgh,University Library,211 (Laing 499),Fragment,s.xiv (2),1,,,,"Borland, Catherine R.  A Descriptive Catalogue of the Western Mediaeval Manuscripts in Edinburgh University Library. Edinburgh: U, 1916.",,,,,,,,,,2.0,,,,100.0,,
295,Erfurt,Allgemeine Bibl.,"Amplon, CA 8vo 32",Miscellaneous theological material,s.xii (ex),5,Continent,,"Limited description information available (folio range estimated based on available data); part of a ""self-contained quire"" of 5 leaves within a composite MS; ""probably written and put together on the Continent""","Stevens, John. ""Alphabetical Check-list of Anglo-Norman Songs C. 1150 - c. 1350."" Plainsong and Medieval Music 3.1 (1994): 1-22.",,,,,,,,,,2.0,8.0,,,20.0,80.0,
296,Erfurt,Allgemeine Bibl.,"Amplon, Q.351",Astronomical tracts etc,s.xiv (in),133,,,"collection owned by Amplonius Rating de Berka s.xv (in) ; see catalogue for contents ; plant names on f. 130r and 133r in Latin, French and English ; on f. 133r in a hand from the middle of the 14th century: ""Iste quaternus constat. .  .dono domini Thome Balumreccir de. .  .ordine Minorum""",https://archive.org/stream/BeschreibendesVerzeichnissDerAmplonia/Beschreibendes_Verzeichniss_der_Amplonia#page/n651/mode/2up,0.4962,99.0075,0.4962,0.0,0.66,131.68,0.66,0.0,,,,,,,,
297,Escorial,Real Bibl. de San Lorenzo,Q.II.6,Psalter,s.xiv (in),178,,,"on fol. 13 in a different hand: ""list of privleges of West Dereham Priory""; copy of 1522 letter ""from Abbot of Welbeck, Notts. to Prior of West Durham"" (78)","Sandler, Lucy Freeman. ""An Early Fourteenth-Century English Psalter in the Escorial.""  Journal of the Warburg and Courtauld Institutes  42 (1979): 65-80.",,,,,,,,,,7.5,347.5,,,2.112676056338028,97.88732394366197,
298,Escorial,Real Bibl. de San Lorenzo,I.III.7,Letter of Hippocrates to Caesar etc,s.xiv (in),112,,,the French may have been copied later ; contents uncertain (based on catalogue),http://jonas.irht.cnrs.fr/oeuvre/9376,,,,,,,,,,4.0,217.0,,,1.809954751131222,98.19004524886877,
299,Exeter,Cathedral Library,3519,Medical miscellany,s.xv,226,,,,,,,,,,,,,,,,,,,,
29d,Brussels,Royal Library of Belgium,II.139,Troie Fragments,s.xii (ex),1,,,From the same MS as #10 according to Dean.,http://www.medievalfrancophone.ac.uk/browse/mss/350/manuscript.html,,,,,,,,,,2.0,,,,100.0,,
3,Aberystwyth,National Library of Wales,Bettisffeld 19,The Life of St. Melor,s.xiv (in),roll of 3 strips,,,fragments,"Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999.",,,,,,,,,,5.0,,,,100.0,,
30,Brussels,Royal Library of Belgium,II.282 (99),L'Apocalypse de S. Jean,s.xiv (ex),157,,,"Table of contents on 1r-3v added in a later hand; post medieval owner ex-libris inscription: ""M.E. de Coussemaker""",http://uurl.kbr.be/1427496,,,,,,,,,,306.0,,,,100.0,,
300a,Florence,Bibl. Medicea Laurenziana,Conventi soppressi 99,Pious material,s.xiii,147,,,"""Part 1 was copied in England in the early- to mid-13th c. The Lucidaire en vers is also 13th c. (later than Part 1?), but there is nothing to link it with England. It is not known when the two codices were bound together."";"" In the upper right corner of f. 1r can be read Sacre Eremi Camalduli J.C. W. 98.""",http://www.huwgrange.co.uk/elucidarium/EP_Florence_Biblioteca-Medicea-Laurenziana_Conventi-soppressi-99.xml,,,,,,,,,,292.0,,,,100.0,,
301,Florence,Bibl. Medicea Laurenziana,"Pluteus XVIII, dext. 7","S. Augustini. Hugonis, Senecae, Lotharii Card. Et Aliorum Quaedam.",s.xiii,270,,,Detailed description not complete.,"Bandini, Angelo Maria. Catalogvs Codicvm Manvscriptorvm Bibliothecae Mediceae Lavrentianae Varia Continens Opera Graecorvm Patrvm. Vol. 4. Florentiae: Typis Caesareis, 1764.",,,,,,,,,,1.0,539.0,,,0.1851851851851852,99.81481481481481,
303,Geneva,Bibl. publ. et univ.,Coll. Comites latentes 183,Herman de Valenciennes,s.xii (ex),104,,,"apparently the correct reference is Coll. Comites latentes 183 rather than Coll. Comites latentes 182 given by Dean; 182 also contains Herman de Valenciennes as well as the Grandes chroniques de France and dates to s.xv (KAM) ; inscription at the end of the volume: ""Ricardus Waerton de dono reverendissimo"" ; 1 r-v is a recycled fragment of music; 2r is an alphabet and 2v a fragment of Alan of Lille's Liber parabolarum  beg. ""Bella movet citus""; 3 r another alphabet and some drawings; 4r and 4 v faded writing in Latin; 5 v writing on cloth",https://www.e-codices.unifr.ch/en/list/one/bge/cl0183,,,,,,,,,,207.0,,,,100.0,,
304,Germany,Private Collection,Yorkshire Apocalypse,Yorkshire Apocalypse,s.xiv (1),47,Yorkshire,John of Bridlington or Pollington,languages not verified and based on a web source; scribe gives his name as John of Bridlington or Pollington,"Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999. ; http://www.persee.fr/doc/scrip_0036-9772_1983_num_37_2_1321 ; http://www.nancyross.com/Yorkshire_Apocalypse_private_collection",,,,,,,,,,45.5,48.5,,,48.40425531914894,51.59574468085106,
305,Glasgow,Univ. Libr.,Hunter 59,Traitié,s.xv (in),132,,,"note on f. 94v: ""1518 pridie aprilis (?).""",http://special.lib.gla.ac.uk/manuscripts/search/detail_c.cfm?ID=34369,,,,,,,,,,7.5,254.5,,,2.8625954198473282,97.13740458015268,
306,Glasgow,Univ. Libr.,Hunter 280,Commentvm in Martiani Minei Felicis Capellae Satyricon,s.xiii (med),36,,,"Anglo-Norman tract added to a Latin MS from the twelth century; ""probably originally ff. 40""; ""On 5, 7 verso (originally blank) in a XV. Cent. hand: Si simplex hominum mihi seruiat corde quid inde | Si mihi natorum speciosa propago quid inde | Si mihi sit coniux pia cesto pudica quid inde | Si superem socios in qualibet arte quid inde | Tam cito pretereunt hec omnia, quid nichil inde
Under this in another (contemporary) hand: nunc saltat Walter veniatis vos unus et alter. Lower (in another somewhat earlier hand): Si tibi copia seu sapiencia formaque detur | Sola superbia destruet omnia si comitetur""","Young, John, P. Henderson Aitken, and Hunterian Museum. A Catalogue of the Manuscripts in the Library of the Hunterian Museum in the University of Glasgow. Glasgow: Maclehose, 1908.",,,,,,,,,,0.5,68.5,,,0.7246376811594203,99.27536231884058,
307,Glasgow,Univ. Libr.,Hunter 292,"Aristotelis, Analytica",s.xiii (2),47,,,"possible owners: ""On 1, 1 recto in a XVI. Cent. hand: Joannes Carpentinus Decanus et Canonicus | Abbatisuille.
The verso of 6, 7. is covered with twenty-six (closely written and contracted) lines of notes, followed by various scribblings, among which is the name: guillemus de courci, under which is: Memoriale Michaelis de sancto Bernhardo | apparatus Johannis monachi. Another name apparently is: henrici domini breknure...
These writings seem all in XV. Cent. hands.""","Young, John, P. Henderson Aitken, and Hunterian Museum. A Catalogue of the Manuscripts in the Library of the Hunterian Museum in the University of Glasgow. Glasgow: Maclehose, 1908.",,,,,,,,,,7.5,34.5,,,17.857142857142858,82.14285714285714,
308,Glasgow,Univ. Libr.,Hunter 467,"Michaelis, Monachi Dovoriensis, Ars Calcvlatoria",s.xiv (med),88,,,"""originally ff. 114""","Young, John, P. Henderson Aitken, and Hunterian Museum. A Catalogue of the Manuscripts in the Library of the Hunterian Museum in the University of Glasgow. Glasgow: Maclehose, 1908. ; http://special.lib.gla.ac.uk/manuscripts/search/detail_c.cfm?ID=35499",,,,,,,,,,22.0,148.0,,,12.941176470588237,87.05882352941177,
309,Göttingen,Univ. Bibl.,Philol. 184,Fragments of La Petite philosophie,s.xiii (med),2,,,"""leaves removed from a binding""","Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999.",,,,,,,,,,4.0,,,,100.0,,
310,The Hague,KM,75 A 2/2,Genealogy of the Kings of England,s.xiii,4 membranes,,,"Added text on verso: ""Chronicle of the Kings of England from William the Conqueror to Henry IV (in Latin)""",http://manuscripts.kb.nl/show/manuscript/75+A+2%2F4,,,,,,,,,,1.0,,,,100.0,,
311,Hamburg,Stadtbibliothek,cod. philol.296,Quire of Grosseteste,s.xiv (2),4,,,"quire fragment of a larger MS ; Dean suggests MS may have been similar in nature to BL, Egerton 3277 (which contains the same work by Grosseteste) ; now bound with works on paper and paginated","Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999.",,,,,,,,,,8.0,,,,100.0,,
312,Hereford,Cathedral,Mappa mundi,Mappa mundi,s.xii / xiii,map,,,,"Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999.",,,,,,,,,,0.5,0.5,,,50.0,50.0,
313,Hereford,Cathedral Library,O.3.XV,Psalms etc,s.xii (ex),76,,,foliated ff.43-70,http://jonas.irht.cnrs.fr/consulter/manuscrit/detail_manuscrit.php?projet=24335,,,,,,,,,,76.0,76.0,,,50.0,50.0,
314,Hereford,Cathedral Library,P.III.3,Latin tracts,s.xiii (ex),233,,,total folios estimated,http://www.mirabileweb.it/manuscript/hereford-cathedral-library-p-iii-3-manoscript/96281,,,,,,,,,,7.0,424.99999999999994,,,1.6203703703703702,98.37962962962962,
